SKU;Descricao SKU;PEP;Cod. ;Desc. BIOS;PLM
1305015;POSITIVO MASTER D2100 TT4500NNAH1100CN0;SEMPEP;11130175;BIOS POS-EIH110EA 1108.L;EIH110EA
1305016;POSITIVO MASTER D2100 TT4500NNAH110UCN0;SEMPEP;11130186;BIOS POS-EIH110EA 171202.X;EIH110EA
1305017;POSITIVO MASTER D2100 TF8500NNAH1100CN0;SEMPEP;11130175;BIOS POS-EIH110EA 1108.L;EIH110EA
1305018;POSITIVO MASTER D2100 TT4500NNAH110VCN0;SEMPEP;11130186;BIOS POS-EIH110EA 171202.X;EIH110EA
1305019;POSITIVO MASTER D2100 TF8500NNAH110VCN0;SEMPEP;11130186;BIOS POS-EIH110EA 171202.X;EIH110EA
1305027;POSITIVO MASTER D610 SS81T0ANEB150VCN-2;SEMPEP;11132270;BIOS POS-PIB150DT R3 V.0620.X DVI KL PD;PIB150DT
1305028;POSITIVO MASTER D610 SF41T0ANEB1500AN0;SEMPEP;11132270;BIOS POS-PIB150DT R3 V.0620.X DVI KL PD;PIB150DT
1305029;POSITIVO MASTER D610 ST4500ANEB150VCN-2;SEMPEP;11132270;BIOS POS-PIB150DT R3 V.0620.X DVI KL PD;PIB150DT
1305030;POSITIVO MASTER D610 ST4500ANEB1500AN0;SEMPEP;11132270;BIOS POS-PIB150DT R3 V.0620.X DVI KL PD;PIB150DT
1305031;POSITIVO MASTER D610 SF41T0ANEB150VCN-2;SEMPEP;11132270;BIOS POS-PIB150DT R3 V.0620.X DVI KL PD;PIB150DT
1305032;POSITIVO MASTER D820 SF81T0ANEQ2700AN0;SEMPEP;11130206;BIOS POS-AIQ270DX 2.24.L;AIQ270DX
1305033;POSITIVO MASTER C820 MINIPRO F4500NVCN;SEMPEP;11128896;BIOS POS-RIQ270DY 0112X;RIQ270DY
1305034;POSITIVO MASTER D820 SF81T0ANEQ270VCN0;SEMPEP;11130207;BIOS POS-AIQ270DX 0224.X;AIQ270DX
1305045;POSITIVO MASTER C610 H4-00667;H4-00667;11128166;BIOS POS-PIB150DR V.0280.L KL;PIB150DR
1305046;POSITIVO MASTER C610 H4-00673;H4-00673;11128166;BIOS POS-PIB150DR V.0280.L KL;PIB150DR
1305048;POSITIVO MASTER D2100 TF81T0NNAH1100CN0;SEMPEP;11130175;BIOS POS-EIH110EA 1108.L;EIH110EA
1305079;POSITIVO MASTER D610 H4-00678 USIMINAS 2;H4-00678;11132270;BIOS POS-PIB150DT R3 V.0620.X DVI KL PD;PIB150DT
1305081;POSITIVO MASTER D820 SF81T0ANEQ270VCN0;SEMPEP;11130207;BIOS POS-AIQ270DX 0224.X;AIQ270DX
1305082;POSITIVO MASTER D610 SS8256ANEB150VCN;SEMPEP;11132270;BIOS POS-PIB150DT R3 V.0620.X DVI KL PD;PIB150DT
1305083;POSITIVO MASTER D610 SF8256NNEB1500AN0;SEMPEP;11132270;BIOS POS-PIB150DT R3 V.0620.X DVI KL PD;PIB150DT
